이름,영어 이름,설명,제품 사진
나이트로 바닐라 크림,Nitro Vanilla Cream,부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!,https://image.istarbucks.co.kr/upload/store/skuimg/2019/09/[9200000002487]_20190919181354845.jpg
초콜릿 블랙 콜드 브루,Chocolate Black Cold Brew,"달콤한 초콜릿과 정성스레 내린 콜드 브루와의 진한 만남
부드러운 초콜릿 콜드 폼과 콜드 브루가 만나 진한 초콜릿 풍미와 바디감이 입안을 기분 좋게 감싸는, 초콜릿 블랙 콜드브루",https://image.istarbucks.co.kr/upload/store/skuimg/2020/05/[9200000002742]_20200504090457289.jpg
코코넛 화이트 콜드 브루,Coconut White Cold Brew,"고소한 코코넛과 정성스레 내린 콜드 브루와의 풍미좋은 만남
코코넛으로 만든 달콤하고 부드러운 크림 폼과 콜드 브루의 감칠맛이 깔끔하게 올라오는,
코코넛 화이트 콜드브루",https://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002739]_20200403131524603.jpg
나이트로 쇼콜라 클라우드,Nitro Chocolat Cloud,"초콜릿과 견과류의 풍미, 초콜릿 파우더 토핑, 하프&하프 샷
부드럽고 달콤한 새로운 나이트로 콜드 브루",https://image.istarbucks.co.kr/upload/store/skuimg/2018/04/[9200000001275]_20180409150826100.jpg
나이트로 콜드 브루,Nitro Cold Brew,"나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!
부드러운 목 넘김과 완벽한 밸런스에 커피 본연의 단맛을 경험할 수 있습니다.
",https://image.istarbucks.co.kr/upload/store/skuimg/2017/03/[9200000000479]_20170328134443541.jpg
돌체 콜드 브루,Dolce Cold Brew,"무더운 여름철, 
동남아 휴가지에서 즐기는 커피를 떠오르게 하는 
스타벅스 음료의 베스트 x 베스트 조합인
돌체 콜드 브루를 만나보세요! ",https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002081]_20190409153909859.jpg
바닐라 크림 콜드 브루,Vanilla Cream Cold Brew,콜드 브루에 더해진 바닐라 크림으로 깔끔하면서 달콤한 콜드 브루를 새롭게 즐길 수 있는 음료입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2017/04/[9200000000487]_20170405152830688.jpg
제주 비자림 콜드 브루,Jeju Forest Cold Brew,"[제주지역 한정음료] 제주 천년의 숲 비자림을 연상시키는 
음료로 제주에서 유기농 말차로 만든 
파우더와 Cold Brew를 활용한 음료.
더욱 시원하고 새로운 Cold Brew를 제주에서 즐겨보세요.",https://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9200000002672]_20200220135658610.jpg
콜드 브루,Cold Brew,"스타벅스 바리스타의 정성으로 탄생한 콜드 브루!

콜드 브루 전용 원두를 차가운 물로 14시간 동안 추출하여 한정된 양만 제공됩니다.
깊은 풍미의 새로운 커피 경험을 즐겨보세요.",https://image.istarbucks.co.kr/upload/store/skuimg/2016/04/[9200000000038]_20160408135802812.jpg
콜드 브루 몰트,Cold Brew Malt,"[리저브 전용음료] 리저브 콜드 브루, 바닐라 아이스크림, 몰트가 블렌딩된 리저브만의 쉐이크
",https://image.istarbucks.co.kr/upload/store/skuimg/2018/07/[9200000001636]_20180726125513041.jpg
콜드 브루 플로트,Cold Brew Float,[리저브 전용음료] 리저브 콜드 브루 위에 녹아 내리는 한 스쿱의 바닐라 아이스크림,https://image.istarbucks.co.kr/upload/store/skuimg/2018/07/[9200000001635]_20180726125607731.jpg
아이스 커피,Iced Coffee,깔끔하고 상큼함이 특징인 시원한 아이스 커피,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[106509]_20150724164325877.jpg
오늘의 커피,Brewed Coffee,신선하게 브루드(Brewed)되어 원두의 다양함이 살아있는 커피,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[2]_20150724164439044.jpg
블론드 바닐라 더블 샷 마키아또,Blonde Vanilla Double Shot Macchiato,블론드 에스프레소 2샷에 흑당 시럽과 바닐라 크림이 부드럽고 달콤하게 어우리진 마키아또 타입의 음료를 즐겨 보세요!,https://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002950]_20200416142151278.jpg
아이스 블론드 바닐라 더블 샷 마키아또,Iced Blonde Vanilla Double Shot Macchiato,블론드 에스프레소 2샷에 흑당 시럽과 바닐라 크림이 부드럽고 달콤하게 어우리진 마키아또 타입의 음료를 즐겨 보세요!,https://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002953]_20200416142415423.jpg
에스프레소 콘 파나,Espresso Con Panna,에스프레소 샷에 풍부한 휘핑크림을 얹은 강렬하고 달콤한 음료,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[30]_20150813221811147.jpg
에스프레소 마키아또,Espresso Macchiato,강렬한 에스프레소 위에 소량의 우유 거품이 얹어진 음료,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[25]_20150813221101602.jpg
아이스 카페 아메리카노,Iced Caffe Americano,강렬한 에스프레소 샷에 시원한 물의 조화,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110563]_20150813222100303.jpg
카페 아메리카노,Caffe Americano,강렬한 에스프레소 샷에 뜨거운 물의 조화,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[94]_20150813222021880.jpg
블론드 카라멜 클라우드 마키아또,Blonde Caramel Cloud Macchiato,"블론드 에스프레소 위에 부드러운 클라우드 콜드 폼, 달콤한 카라멜 드리즐로 완성한 블론드 카라멜 클라우드 마키아또를 즐겨보세요! 
",https://image.istarbucks.co.kr/upload/store/skuimg/2019/11/[9200000002585]_20191111140325191.jpg
블론드 코코아 클라우드 마키아또,Blonde Cocoa Cloud Macchiato ,"블론드 에스프레소에 부드러운 클라우드 콜드 폼, 코코아 드리즐로 완성한 블론드 코코아 클라우드를 즐겨보세요!",https://image.istarbucks.co.kr/upload/store/skuimg/2019/11/[9200000002589]_20191111140503012.jpg
아이스 블론드 카라멜 클라우드 마키아또,Iced Blonde Caramel Cloud Macchiato ,"블론드 에스프레소 위에 부드러운 클라우드 콜드 폼, 달콤한 카라멜 드리즐로 완성한 블론드 카라멜 클라우드 마키아또를 즐겨보세요! ",https://image.istarbucks.co.kr/upload/store/skuimg/2019/11/[9200000002587]_20191111140424942.jpg
아이스 블론드 코코아 클라우드 마키아또,Iced Blonde Cocoa Cloud Macchiato,"블론드 에스프레소에 부드러운 클라우드 콜드 폼, 코코아 드리즐로 완성한 블론드 코코아 클라우드를 즐겨보세요!",https://image.istarbucks.co.kr/upload/store/skuimg/2019/11/[9200000002591]_20191111140547113.jpg
아이스 카라멜 마키아또,Iced Caramel Macchiato,"바닐라 시럽, 시원한 우유에 얼음과 에스프레소 샷, 카라멜 드리즐이 어우러진 음료",https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110582]_20150803101947416.jpg
